2020-06-09-17-28-32	=============== Application Start ==============
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	repicking object : 0
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	dxl wait start
2020-06-09-17-28-35	dxl wait finish
2020-06-09-17-28-35	grip wait start
2020-06-09-17-28-35	grip wait finish
2020-06-09-17-28-35	dxl wait start
